customer_id,CustomerID,Country
1,17850.0,United Kingdom
2,13047.0,United Kingdom
3,12583.0,France
4,13748.0,United Kingdom
5,15100.0,United Kingdom
6,15291.0,United Kingdom
7,14688.0,United Kingdom
8,17809.0,United Kingdom
9,15311.0,United Kingdom
10,16098.0,United Kingdom
11,18074.0,United Kingdom
12,17420.0,United Kingdom
13,16029.0,United Kingdom
14,16250.0,United Kingdom
15,12431.0,Australia
16,17511.0,United Kingdom
17,13705.0,United Kingdom
18,13747.0,United Kingdom
19,13408.0,United Kingdom
20,13767.0,United Kingdom
21,17924.0,United Kingdom
22,13448.0,United Kingdom
23,15862.0,United Kingdom
24,15513.0,United Kingdom
25,12791.0,Netherlands
26,16218.0,United Kingdom
27,14045.0,United Kingdom
28,14307.0,United Kingdom
29,17908.0,United Kingdom
30,17920.0,United Kingdom
31,12838.0,United Kingdom
32,13255.0,United Kingdom
33,16583.0,United Kingdom
34,18085.0,United Kingdom
35,13758.0,United Kingdom
36,13694.0,United Kingdom
37,15983.0,United Kingdom
38,14849.0,United Kingdom
39,17968.0,United Kingdom
40,16210.0,United Kingdom
41,17897.0,United Kingdom
42,17377.0,United Kingdom
43,16552.0,United Kingdom
44,17181.0,United Kingdom
45,17951.0,United Kingdom
46,14729.0,United Kingdom
47,12748.0,United Kingdom
48,15012.0,United Kingdom
49,12868.0,United Kingdom
50,17572.0,United Kingdom
51,14078.0,United Kingdom
52,14001.0,United Kingdom
53,12662.0,Germany
54,15525.0,United Kingdom
55,14237.0,United Kingdom
56,17905.0,United Kingdom
57,15485.0,United Kingdom
58,12433.0,Norway
59,16955.0,United Kingdom
60,15350.0,United Kingdom
61,15605.0,United Kingdom
62,18144.0,United Kingdom
63,15922.0,United Kingdom
64,14594.0,United Kingdom
65,15165.0,United Kingdom
66,14911.0,EIRE
67,16456.0,United Kingdom
68,17346.0,United Kingdom
69,17643.0,United Kingdom
70,17841.0,United Kingdom
71,17873.0,United Kingdom
72,13093.0,United Kingdom
73,12921.0,United Kingdom
74,13468.0,United Kingdom
75,17760.0,United Kingdom
76,16928.0,United Kingdom
77,16048.0,United Kingdom
78,16274.0,United Kingdom
79,14496.0,United Kingdom
80,14696.0,United Kingdom
81,16539.0,United Kingdom
82,17025.0,United Kingdom
83,13777.0,United Kingdom
84,17690.0,United Kingdom
85,12947.0,United Kingdom
86,17460.0,United Kingdom
87,18229.0,United Kingdom
88,14142.0,United Kingdom
89,17069.0,United Kingdom
90,13065.0,United Kingdom
91,14606.0,United Kingdom
92,16835.0,United Kingdom
93,15235.0,United Kingdom
94,13576.0,United Kingdom
95,18011.0,United Kingdom
96,13090.0,United Kingdom
97,15694.0,United Kingdom
98,14741.0,United Kingdom
99,13715.0,United Kingdom
100,17732.0,United Kingdom
101,12855.0,United Kingdom
102,15752.0,United Kingdom
103,17855.0,United Kingdom
104,14047.0,United Kingdom
105,17925.0,United Kingdom
106,13941.0,United Kingdom
107,17017.0,United Kingdom
108,14135.0,United Kingdom
109,13108.0,United Kingdom
110,15601.0,United Kingdom
111,13418.0,United Kingdom
112,15658.0,United Kingdom
113,14388.0,United Kingdom
114,14901.0,United Kingdom
115,18041.0,United Kingdom
116,15955.0,United Kingdom
117,15070.0,United Kingdom
118,16244.0,United Kingdom
119,15111.0,United Kingdom
120,14390.0,United Kingdom
121,16546.0,United Kingdom
122,15260.0,United Kingdom
123,13305.0,United Kingdom
124,14491.0,United Kingdom
125,14060.0,United Kingdom
126,15923.0,United Kingdom
127,16752.0,United Kingdom
128,17287.0,United Kingdom
129,15363.0,United Kingdom
130,12915.0,United Kingdom
131,15544.0,United Kingdom
132,15738.0,United Kingdom
133,17381.0,United Kingdom
134,15827.0,United Kingdom
135,14180.0,United Kingdom
136,13117.0,United Kingdom
137,16916.0,United Kingdom
138,17964.0,United Kingdom
139,14466.0,United Kingdom
140,17235.0,United Kingdom
141,16510.0,United Kingdom
142,17802.0,United Kingdom
143,15107.0,United Kingdom
144,17976.0,United Kingdom
145,14449.0,United Kingdom
146,16781.0,United Kingdom
147,13491.0,United Kingdom
148,16186.0,United Kingdom
149,17685.0,United Kingdom
150,17581.0,United Kingdom
151,15732.0,United Kingdom
152,13138.0,United Kingdom
153,15823.0,United Kingdom
154,17567.0,United Kingdom
155,15061.0,United Kingdom
156,16203.0,United Kingdom
157,15640.0,United Kingdom
158,15574.0,United Kingdom
159,16770.0,United Kingdom
160,17838.0,United Kingdom
161,17228.0,United Kingdom
162,14829.0,United Kingdom
163,17412.0,United Kingdom
164,14031.0,United Kingdom
165,14775.0,United Kingdom
166,12971.0,United Kingdom
167,17659.0,United Kingdom
168,15299.0,United Kingdom
169,15646.0,United Kingdom
170,13402.0,United Kingdom
171,17757.0,United Kingdom
172,13011.0,United Kingdom
173,13798.0,United Kingdom
174,16754.0,United Kingdom
175,16634.0,United Kingdom
176,18239.0,United Kingdom
177,14576.0,United Kingdom
178,13145.0,United Kingdom
179,18168.0,United Kingdom
180,14395.0,United Kingdom
181,14865.0,United Kingdom
182,15093.0,United Kingdom
183,12738.0,Germany
184,16150.0,United Kingdom
185,17552.0,United Kingdom
186,14236.0,United Kingdom
187,17961.0,United Kingdom
188,14573.0,United Kingdom
189,17135.0,United Kingdom
190,17396.0,United Kingdom
191,12967.0,United Kingdom
192,12686.0,France
193,13370.0,United Kingdom
194,16883.0,United Kingdom
195,13520.0,Switzerland
196,12841.0,United Kingdom
197,16905.0,United Kingdom
198,12427.0,Germany
199,17967.0,United Kingdom
200,16891.0,United Kingdom
201,14589.0,United Kingdom
202,14156.0,EIRE
203,14680.0,United Kingdom
