date_id,InvoiceDate,Year,Month,Day,Hour
1,2010-12-01 08:26:00,2010,12,1,8
2,2010-12-01 08:28:00,2010,12,1,8
3,2010-12-01 08:34:00,2010,12,1,8
4,2010-12-01 08:35:00,2010,12,1,8
5,2010-12-01 08:45:00,2010,12,1,8
6,2010-12-01 09:00:00,2010,12,1,9
7,2010-12-01 09:01:00,2010,12,1,9
8,2010-12-01 09:02:00,2010,12,1,9
9,2010-12-01 09:09:00,2010,12,1,9
10,2010-12-01 09:32:00,2010,12,1,9
11,2010-12-01 09:34:00,2010,12,1,9
12,2010-12-01 09:37:00,2010,12,1,9
13,2010-12-01 09:41:00,2010,12,1,9
14,2010-12-01 09:45:00,2010,12,1,9
15,2010-12-01 09:53:00,2010,12,1,9
16,2010-12-01 09:56:00,2010,12,1,9
17,2010-12-01 09:57:00,2010,12,1,9
18,2010-12-01 09:58:00,2010,12,1,9
19,2010-12-01 09:59:00,2010,12,1,9
20,2010-12-01 10:03:00,2010,12,1,10
21,2010-12-01 10:19:00,2010,12,1,10
22,2010-12-01 10:29:00,2010,12,1,10
23,2010-12-01 10:37:00,2010,12,1,10
24,2010-12-01 10:39:00,2010,12,1,10
25,2010-12-01 10:47:00,2010,12,1,10
26,2010-12-01 10:51:00,2010,12,1,10
27,2010-12-01 10:52:00,2010,12,1,10
28,2010-12-01 10:53:00,2010,12,1,10
29,2010-12-01 11:21:00,2010,12,1,11
30,2010-12-01 11:22:00,2010,12,1,11
31,2010-12-01 11:27:00,2010,12,1,11
32,2010-12-01 11:29:00,2010,12,1,11
33,2010-12-01 11:32:00,2010,12,1,11
34,2010-12-01 11:33:00,2010,12,1,11
35,2010-12-01 11:34:00,2010,12,1,11
36,2010-12-01 11:41:00,2010,12,1,11
37,2010-12-01 11:45:00,2010,12,1,11
38,2010-12-01 11:49:00,2010,12,1,11
39,2010-12-01 11:57:00,2010,12,1,11
40,2010-12-01 11:58:00,2010,12,1,11
41,2010-12-01 12:03:00,2010,12,1,12
42,2010-12-01 12:08:00,2010,12,1,12
43,2010-12-01 12:12:00,2010,12,1,12
44,2010-12-01 12:15:00,2010,12,1,12
45,2010-12-01 12:22:00,2010,12,1,12
46,2010-12-01 12:23:00,2010,12,1,12
47,2010-12-01 12:27:00,2010,12,1,12
48,2010-12-01 12:31:00,2010,12,1,12
49,2010-12-01 12:35:00,2010,12,1,12
50,2010-12-01 12:36:00,2010,12,1,12
51,2010-12-01 12:38:00,2010,12,1,12
52,2010-12-01 12:40:00,2010,12,1,12
53,2010-12-01 12:43:00,2010,12,1,12
54,2010-12-01 12:48:00,2010,12,1,12
55,2010-12-01 12:49:00,2010,12,1,12
56,2010-12-01 12:50:00,2010,12,1,12
57,2010-12-01 12:51:00,2010,12,1,12
58,2010-12-01 12:54:00,2010,12,1,12
59,2010-12-01 12:58:00,2010,12,1,12
60,2010-12-01 13:04:00,2010,12,1,13
61,2010-12-01 13:17:00,2010,12,1,13
62,2010-12-01 13:20:00,2010,12,1,13
63,2010-12-01 13:21:00,2010,12,1,13
64,2010-12-01 13:23:00,2010,12,1,13
65,2010-12-01 13:24:00,2010,12,1,13
66,2010-12-01 13:31:00,2010,12,1,13
